Package,LibPath,Version,Priority,Built
fansi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.0,NA,3.5.0
fBasics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3042.89,NA,3.5.0
fields,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,9.6,NA,3.5.0
flexclust,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-0,NA,3.5.0
flexmix,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.3-14,NA,3.5.0
forcats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
foreach,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.4,NA,3.5.0
foreign,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8-71,recommended,3.5.2
formatR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.1
Formula,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-3,NA,3.5.0
fpc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1-11.1,NA,3.5.0
fs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.6,NA,3.5.0
gbm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.4,NA,3.5.0
gclus,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
gdata,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.18.0,NA,3.5.0
generics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.0.2,NA,3.5.0
ggdendro,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-20,NA,3.5.0
ggplot2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1.0,NA,3.5.0
ggraptR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1,NA,3.5.0
gh,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
git2r,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.23.0,NA,3.5.0
glue,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.1
gmp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5-13.2,NA,3.5.0
gower,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.2,NA,3.5.0
gplots,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0.1,NA,3.5.0
graphics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
grDevices,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
grid,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
gridBase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-7,NA,3.5.0
gridExtra,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.3,NA,3.5.0
gss,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1-9,NA,3.5.0
gsubfn,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7,NA,3.5.0
gtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
gtools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.8.1,NA,3.5.0
gWidgets,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.0-54,NA,3.5.0
h2o,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.20.0.8,NA,3.5.0
haven,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.2,NA,3.5.0
hexbin,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.27.2,NA,3.5.0
highr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7,NA,3.5.0
hmeasure,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0,NA,3.5.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-1,NA,3.5.0
hms,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.2,NA,3.5.0
htmlTable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.12,NA,3.5.0
htmltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.6,NA,3.5.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3,NA,3.5.0
httpuv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.5,NA,3.5.0
httr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
igraph,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.2,NA,3.5.0
ini,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.1,NA,3.5.0
ipred,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-8,NA,3.5.0
ISLR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2,NA,3.5.0
iterators,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.10,NA,3.5.0
jomo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.6-4,NA,3.5.0
jsonlite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
kernlab,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-27,NA,3.5.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.23-15,recommended,3.5.2
knitr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.20,NA,3.5.0
labeling,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3,NA,3.5.0
later,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7.5,NA,3.5.0
lattice,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.20-38,recommended,3.5.2
latticeExtra,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6-28,NA,3.5.0
lava,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6.4,NA,3.5.0
lazyeval,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
lme4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-18-1,NA,3.5.0
lmtest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-36,NA,3.5.0
lubridate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.4,NA,3.5.0
magrittr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
manipulateWidget,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.10.0,NA,3.5.0
maps,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.3.0,NA,3.5.0
markdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8,NA,3.5.0
MASS,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-51.1,recommended,3.5.2
Matrix,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-15,recommended,3.5.2
mclust,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,5.4.1,NA,3.5.0
memoise,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
methods,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
mgcv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-26,recommended,3.5.2
mice,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.3.0,NA,3.5.0
mime,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6,NA,3.5.0
miniUI,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.1.1,NA,3.5.0
minqa,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.4,NA,3.5.0
misc3d,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8-4,NA,3.5.0
mitml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-6,NA,3.5.0
mnormt,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5-5,NA,3.5.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.2,NA,3.5.0
modelr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.2,NA,3.5.0
modeltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-22,NA,3.5.0
multcomp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-8,NA,3.5.0
munsell,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-8,NA,3.5.0
nlme,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1-137,recommended,3.5.2
nloptr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
NLP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-0,NA,3.5.0
nnet,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-12,recommended,3.5.2
nnls,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4,NA,3.5.0
numDeriv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2016.8-1,NA,3.5.0
openssl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
ordinal,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2018.8-25,NA,3.5.0
packrat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.1
pacman,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
pan,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6,NA,3.5.0
pander,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.3,NA,3.5.0
parallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
party,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1,NA,3.5.0
pillar,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
pkgbuild,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
pkgconfig,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.2,NA,3.5.0
pkgload,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
PKI,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-5.1,NA,3.5.0
plogr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
plot3D,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
plotly,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.8.0,NA,3.5.1
plyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.4,NA,3.5.0
pmml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5.6,NA,3.5.0
prabclus,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2-6,NA,3.5.0
praise,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
processx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2.0,NA,3.5.0
prodlim,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2018.04.18,NA,3.5.0
promises,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
proto,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
proxy,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-22,NA,3.5.0
ps,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
psych,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.4,NA,3.5.0
purrr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
qap,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-1,NA,3.5.0
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.1,NA,3.5.0
R.oo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.22.0,NA,3.5.0
R.utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.7.0,NA,3.5.0
R6,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.3.0,NA,3.5.0
randomForest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.6-14,NA,3.5.0
rattle,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,5.2.0,NA,3.5.0
rattle.data,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
rcmdcheck,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-2,NA,3.5.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.12.19,NA,3.5.0
RcppEigen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.3.4.0,NA,3.5.0
RcppRoll,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
RCurl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.95-4.11,NA,3.5.0
readr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
readxl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
recipes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.4,NA,3.5.0
registry,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5,NA,3.5.0
rematch,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
remotes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.1,NA,3.5.0
reprex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
reshape,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.8,NA,3.5.0
reshape2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.0
reticulate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.10,NA,3.5.0
rgl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.99.16,NA,3.5.0
RGtk2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.20.35,NA,3.5.0
RJSONIO,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1.1,NA,3.5.0
rlang,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0.1,NA,3.5.0
rmarkdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.10,NA,3.5.1
Rmpfr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-1,NA,3.5.0
robustbase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.93-3,NA,3.5.0
ROCR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-7,NA,3.5.0
RODBC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-15,NA,3.5.0
rpart,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-13,recommended,3.5.2
rpart.plot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0.4,NA,3.5.0
rprojroot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-2,NA,3.5.1
rsconnect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.11,NA,3.5.0
RSQLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.1,NA,3.5.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8,NA,3.5.0
rvest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.2,NA,3.5.0
sandwich,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.5-0,NA,3.5.0
scales,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
scatterplot3d,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-41,NA,3.5.0
scs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-1,NA,3.5.0
selectr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-1,NA,3.5.0
seriation,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-3,NA,3.5.0
sessioninfo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
shiny,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
skimr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.3,NA,3.5.0
slam,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-43,NA,3.5.0
SnowballC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.7,NA,3.5.0
sp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1,NA,3.5.0
spam,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2-0,NA,3.5.0
spatial,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-11,recommended,3.5.2
splines,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
sqldf,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-11,NA,3.5.0
SQUAREM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2017.10-1,NA,3.5.0
stabledist,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-1,NA,3.5.0
stats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
stats4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
stringi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.4,NA,3.5.0
stringr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
strucchange,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5-1,NA,3.5.0
survival,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.43-3,recommended,3.5.2
swirl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.4.3,NA,3.5.0
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
testthat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.1,NA,3.5.0
TH.data,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-9,NA,3.5.0
tibble,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.2,NA,3.5.0
tidyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.1,NA,3.5.0
tidyselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
timeDate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3043.102,NA,3.5.0
timeSeries,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3042.102,NA,3.5.0
tinytex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9,NA,3.5.0
tm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-5,NA,3.5.0
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
trimcluster,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-2.1,NA,3.5.0
TSP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-6,NA,3.5.0
ucminf,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-4,NA,3.5.0
usethis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.0
utf8,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.0
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
vcd,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.0
verification,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.42,NA,3.5.0
viridis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
visNetwork,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.4,NA,3.5.0
webshot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
whisker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-2,NA,3.5.0
withr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.2,NA,3.5.0
wskm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.28,NA,3.5.0
xfun,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
xgboost,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.71.2,NA,3.5.0
XML,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.98-1.16,NA,3.5.0
xml2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
xopen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
